,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
7428,Atrebida,1958,"Action, Drama","In Taglog. It's ""PAK-ALAMERA"" - In English. It's ""MEDDLER"" - but the Spanish have a word for it - it's ""ATREBIDA"".",movie,,"['taglog', 'pakalamera', 'english', 'meddler', 'spanish', 'word', 'atrebida']"
7429,Mabuhay ang Pilipinas,2013,"Short, Drama",A promise of love broken by the promise of a good life.,movie,,"['promise', 'love', 'break', 'promise', 'good', 'life']"
7431,Pitong James Bonds,1966,Comedy,"The merriest, maddest, wackiest and biggest of all James Bonds picture.",movie,,"['merry', 'maddest', 'wacky', 'big', 'jame', 'bond', 'picture']"
7436,My Pet,2008,"Animation, Short","About an eight-year-old girl and her relationship with her first pet, a chick, the subject of a class experiment. As an only child and a girl, she is sheltered and mostly kept indoors. She likes to draw and hold tea parties with her doll as her company most of the time. It is when she meets this chick that her world becomes a little bit more dynamic. Her relationship with this pet acts as a catalyst in forming new relationships.Written byanonymous",movie,,"['eightyearold', 'girl', 'relationship', 'first', 'pet', 'chick', 'subject', 'class', 'experiment', 'child', 'girl', 'shelter', 'mostly', 'keep', 'indoor', 'draw', 'hold', 'tea', 'party', 'doll', 'company', 'time', 'meet', 'chick', 'world', 'become', 'little', 'bit', 'dynamic', 'relationship', 'pet', 'act', 'catalyst', 'form', 'new', 'relationship']"
7437,Yugto,2020,Short,"Yugto is a short documentary of the lives of Filipinos during the COVID-19 pandemic. Shot by various and willing Filipinos during the onset of the country's General Community Quarantine, Yugto showcases sneak peeks into their struggles, hopes, and transformations.",movie,,"['yugto', 'short', 'documentary', 'live', 'filipino', 'pandemic', 'shoot', 'various', 'willing', 'filipino', 'onset', 'countrys', 'general', 'community', 'quarantine', 'yugto', 'showcase', 'sneak', 'peek', 'hope', 'transformation']"
7439,Pusang gala,2001,Drama,"Boyet (Ricky Davao), a mother-like transvestite gay man who takes in stray cats (including the human form), lives in an apartment complex: his next door neighbor is Martha (Irma Adlawan), a successful business woman whose evenings are usually spent alone pining for her often absentee boyfriend of five years, Steve (Reggie Curley). Martha and Boyet are close friends, to the point that Boyet's writing career is focused on the love tangles of Martha as well as his own absentee lover situation with the manipulative Dom (Lauren Novero). Boyet has a live-in 'son', JoJo (Alcris Galura), a lad whose street life as an abandoned boy has stuck the heart of the mothering Boyet. The story bounces between Boyet's and Martha's fantasies about their boyfriends' commitment problems, and while each of the two character's love lives are well defined (both straight and gay and in between!), the method of the story telling makes dissecting fact from fantasy a bit of a challenge. The ending of the film ...Written byVolvolac",movie,,"['ricky', 'motherlike', 'transvestite', 'gay', 'man', 'take', 'stray', 'cat', 'include', 'human', 'form', 'live', 'apartment', 'complex', 'next', 'door', 'neighbor', 'irma', 'successful', 'business', 'woman', 'evening', 'usually', 'spend', 'alone', 'pine', 'often', 'absentee', 'boyfriend', 'year', 'reggie', 'curley', 'martha', 'boyet', 'close', 'friend', 'point', 'boyet', 'write', 'career', 'focus', 'love', 'tangle', 'absentee', 'lover', 'situation', 'manipulative', 'dom', 'lauren', 'boyet', 'livein', 'son', 'jojo', 'alcris', 'galura', 'lad', 'street', 'life', 'abandon', 'boy', 'stick', 'heart', 'mothering', 'boyet', 'story', 'bounce', 'boyet', 'marthas', 'fantasy', 'boyfriend', 'commitment', 'problem', 'character', 'love', 'live', 'well', 'define', 'straight', 'gay', 'method', 'story', 'tell', 'make', 'dissect', 'fact', 'fantasy', 'bit', 'challenge', 'end', 'film']"
7441,Pop Talk,2011,Talk-Show,"""Pop Talk"" brings you the best restaurants, travel destinations, and gadgets, as reviewed by field experts, celebrities, and people like you!",tv,,"['pop', 'talk', 'bring', 'good', 'restaurant', 'travel', 'destination', 'gadget', 'review', 'field', 'expert', 'celebrity', 'people']"
7446,Pido Dida 2 (Kasal na),1991,Comedy,"A sequel of Pido Dida 1 in which two children from the orphanage grow up thinking they are siblings, but later find out that they are not related. They realize that they are in love and get married. Dida's Stepmother Shirley (Dexter Doria) continues to belittle Pido and there seems no way that they will ever get along. The newlyweds moves in with Pido's Mother (Nova Villa) who gives them a long lecture so the couple decide to stay with Nanay Batchoy (Vangie Labalan), the junk dealer who raised them like her own. Trouble starts when Pido's womanizing and henpecked Boss makes him the go-between for him and his mistress.Written byledster",movie,,"['sequel', 'child', 'orphanage', 'think', 'sibling', 'later', 'find', 'related', 'realize', 'love', 'get', 'marry', 'didas', 'stepmother', 'shirley', 'dexter', 'continue', 'belittle', 'pido', 'seem', 'way', 'ever', 'get', 'newlywed', 'move', 'pidos', 'mother', 'nova', 'villa', 'give', 'long', 'lecture', 'couple', 'decide', 'stay', 'nanay', 'labalan', 'junk', 'dealer', 'raise', 'trouble', 'start', 'pidos', 'womanize', 'henpecke', 'boss', 'make', 'mistress']"
7447,Luis Latigo,1961,Action,The crack of his whip offers the only hope of survival for an oppressed people..,movie,,"['crack', 'whip', 'offer', 'hope', 'survival', 'oppress', 'people']"
7451,Jillian: Namamasko po,2010,Drama,"Jillian: Namamasko Po! tells the delightful story of Jillian (Jillian Ward), the magical doll and assistant of Santa Claus (Michael V) who accidentally falls into the hands of a sick young girl named Dolly (Daniella Amable), daughter of couple Lynette (Claudine Barretto) and Nelson (Wendell Ramos). Later on, Dolly discovers that Jillian is a unique doll that can talk, sing, and dance, among a lot of other things! Dolly believes that Santa Claus granted her two wishes through Jillian - that is to have a sister and a gift this Christmas. At first, Jillian, the magical doll, becomes annoyed with Dolly and her loving family, but she eventually enjoys their company. One night before going to bed, the sick child asks Jillian to promise to take care of her parents. Without any question, Jillian agrees. The following day, Dolly passes away. Lynette and Nelson gradually grow apart due to the pain of losing their daughter.Written byigma.tv",tv,,"['po', 'tell', 'delightful', 'story', 'jillian', 'ward', 'magical', 'doll', 'assistant', 'santa', 'claus', 'accidentally', 'fall', 'hand', 'sick', 'young', 'girl', 'name', 'dolly', 'amable', 'daughter', 'couple', 'claudine', 'barretto', 'nelson', 'ramos', 'later', 'dolly', 'discover', 'jillian', 'unique', 'doll', 'talk', 'sing', 'dance', 'lot', 'thing', 'dolly', 'believe', 'santa', 'claus', 'grant', 'wish', 'jillian', 'sister', 'gift', 'christmas', 'first', 'jillian', 'magical', 'doll', 'become', 'annoyed', 'dolly', 'love', 'family', 'eventually', 'enjoy', 'company', 'night', 'go', 'bed', 'sick', 'child', 'ask', 'promise', 'take_care', 'parent', 'question', 'jillian', 'agree', 'follow', 'day', 'dolly', 'pass', 'away', 'nelson', 'gradually', 'grow', 'apart', 'due', 'pain', 'lose', 'daughter']"
7457,Bongga ka day,1980,"Comedy, Musical","THE MUSICAL-COMEDY FILM SHOWS WHAT STUDENTS DO AFTER CLASS HOURS, ESPECIALLY IN DISCO HOUSES.",movie,,"['film', 'show', 'student', 'class', 'hour', 'especially', 'disco', 'house']"
7458,Handang matodas,1956,Comedy,When a daredevil taxi driver meets a pampered heiress WHAT A FRACAS.,movie,,"['daredevil', 'taxi_driver', 'meet', 'pampered', 'heiress', 'fracas']"
7461,Rebelde ng Mindanao,1983,"Action, Drama, War","THE FILM VINDICATES GOVERNMENT EFFORTS TO SOLVE THE PROBLEMS IN MINDANAO, ESPECIALLY THOSE THAT RELATE TO SECESSIONIST MOVEMENTS.",movie,,"['film', 'vindicate', 'government', 'effort', 'solve', 'problem', 'mindanao', 'especially', 'relate', 'secessionist', 'movement']"
7462,Best Sport,2012,                        11min                    ,A discarded baby survives and finds home in the strangest way.,movie,,"['discard', 'baby', 'survive', 'find', 'home', 'strange', 'way']"
7463,Triple,1968,                        57min                    ,"Anyone Can Dance is the ultimate set of DVDs for people just learning to ballroom dance.Donald and Kasia break down each step clearly to get you on the dance floor fast. Beginning Level: Basic Triple, Throwout, Underarm Turns, Behing the Back PassIntermediate Level: Cuddle, Alternating Underarm Turns, Shoulder CheckWritten byAnonymous",movie,,"['dance', 'ultimate', 'set', 'dvds', 'people', 'learn', 'ballroom', 'dancedonald', 'kasia', 'break', 'step', 'clearly', 'get', 'dance', 'floor', 'fast', 'beginning', 'level', 'basic', 'triple', 'throwout', 'underarm', 'turn', 'behe', 'back', 'passintermediate', 'level', 'cuddle', 'alternate', 'underarm', 'turn', 'shoulder', 'check']"
7468,The Big Broadcast,1962,"Comedy, Musical",Two teenagers gatecrashed in a movie studio to see their idols who promised to choose them as their next leading lady.,movie,,"['teenager', 'gatecrashe', 'movie', 'studio', 'see', 'idol', 'promise', 'choose', 'next', 'lead', 'lady']"
7473,Pagsisiyasat sa gabing ayaw lumimot,2012,Documentary,"Erwin Romulo, the best friend of the late film critic Alexis Tioseco, recalls the events after the critic and his girlfriend Nika Bohinc's murder during a buglary in their home in Quezon City. Lav Diaz makes use of one long take to allow Romulo an uninterrupted narration of the events.",movie,,"['late', 'film', 'critic', 'recall', 'event', 'critic', 'girlfriend', 'nika', 'bohinc', 'murder', 'home', 'lav', 'diaz', 'make', 'use', 'long', 'take', 'allow', 'romulo', 'uninterrupted', 'narration', 'event']"
7474,Hindi tao hindi hayop,2013,"Short, Drama","The lives of a matriarch, her two sons, and her niece are never the same again as they come to terms with an indiscretion in the family. A pivotal decision is made and a downward spiral ensues wherein the outcome can be no less than earth-shattering.Written byDennis Empalmado",movie,,"['live', 'matriarch', 'son', 'niece', 'never', 'come_term', 'indiscretion', 'family', 'pivotal', 'decision', 'make', 'downward', 'spiral', 'ensue', 'wherein', 'outcome', 'less', 'earthshattere']"
7476,Totoo ba ang tsimis?,1981,Comedy,"A NURSE FALLS IN LOVE WITH HER HOSPITAL PATIENT, SENDING TONGUES WAGGING.",movie,,"['nurse', 'fall', 'love', 'hospital', 'patient', 'send', 'tongue', 'wag']"
7477,Cass & Cary: Who Wants to Be a Billionaire?,2002,Comedy,"Used to living in poverty, it seemed impossible for Cass and Cary to have a comfortable and bountiful life until Doqa Gracia comes to bring them into her home. The rich woman seeks the help of her lawyers to find her lost grandson Cary and eventually finds him living in a deprived area with Cass. Now in Doña Gracia's care, the buddies could not believe their dream has finally come true.Written byfab-one",movie,,"['use', 'live', 'poverty', 'seem', 'impossible', 'cass', 'comfortable', 'bountiful', 'life', 'doqa', 'gracia', 'come', 'bring', 'home', 'rich', 'woman', 'seek', 'help', 'lawyer', 'find', 'lose', 'grandson', 'eventually', 'find', 'living', 'deprive', 'area', 'cass', 'doña', 'care', 'buddy', 'believe', 'dream', 'finally', 'come', 'true']"
7478,Pikyaw,2014,Animation,"Iloilo, the City of Love, the human dimensional plane of Calixto, the encanto dimensional plane, where anarchy and desolation had been a way of life for the past decades. Amusement, delight, and laughter has left it years before because of the actions of Albion, the most feared entity in Calixto. He set his sights on revenge, and deployed his murderous forces to finally abolish Calixto's final chance for happiness. Abet, Tyrone and Marco, three children in the human plane was forced to become champions who will restore Calixto. With recovered weapons and two sticks, their dream to recover Calixto will be put to the test: to discover the truth and the sacrifice that comes with heroism and bravery.Written byMahnnie Tolentino",movie,,"['iloilo', 'city', 'love', 'human', 'dimensional', 'plane', 'calixto', 'dimensional', 'plane', 'anarchy', 'desolation', 'way', 'life', 'decade', 'amusement', 'delight', 'laughter', 'leave', 'year', 'action', 'albion', 'fear', 'entity', 'calixto', 'set', 'sight', 'revenge', 'deploy', 'murderous', 'force', 'finally', 'abolish', 'calixtos', 'final', 'chance', 'happiness', 'abet', 'tyrone', 'child', 'human', 'plane', 'force', 'become', 'champion', 'restore', 'calixto', 'recover', 'weapon', 'stick', 'dream', 'recover', 'put_t', 'discover', 'truth', 'sacrifice', 'come', 'heroism', 'bravery']"
7480,Mestizo: A Beautiful Boy,2012,Drama,Mestizo a beautiful boy 2012,movie,,"['mestizo', 'beautiful', 'boy']"
7482,Diosa,1982,Drama,A FOREST NYMPH EXACTS VENGEANCE AGAINST A MAN DID HER WRONG IN A PAST ERA THROUGH THE LATTER'S HEIRS IN SUBSEQUENT GENERATIONS.,movie,,"['forest', 'nymph', 'exact', 'vengeance', 'man', 'wrong', 'era', 'latter', 'heir', 'subsequent', 'generation']"
7483,Los compadres,1973,"Comedy, Musical",Guaranteed to tickle your funny bones - or your money back. It's the comedy riot of the year.,movie,,"['guarantee', 'tickle', 'funny', 'bone', 'money', 'back', 'comedy', 'riot', 'year']"
7488,Pakpak,2009,Drama,I want to use it.. i want to swe rhis movie...,movie,,"['want', 'use', 'want', 'swe', 'movie']"
7491,Justice for Maya,2019,                        3min                    ,"After documenting a photographic series of birds trapped in reed cages in the Philippines, the director began relating these images to the communal ""cages"" that affect LGBTQ+ societies in Asia. The 3 minutes stop-motion animation is made from more than 1000 film stills and depicts Maya. Maya is equated to a bird trapped in a cage, as well as within a larger social system. The film explores Maya's strength to fight for their right and claim their space.Written byJamie Chi",movie,,"['document', 'photographic', 'series', 'bird', 'trap', 'reed', 'cage', 'philippine', 'director', 'begin', 'relate', 'image', 'communal', 'cage', 'affect', 'lgbtq', 'society', 'asia', 'minute', 'stopmotion', 'animation', 'make', 'film', 'still', 'depict', 'maya', 'maya', 'equate', 'bird', 'trap', 'cage', 'well', 'large', 'social', 'system', 'film', 'explore', 'maya', 'strength', 'fight', 'right', 'claim', 'space']"
7496,B.F.G.F.,2010,Romance,The extreme worlds of a Yaya from Cebu and a Rich Young Brat collide in this funny and heartwarming teen barkada story.,tv,,"['extreme', 'world', 'yaya', 'rich', 'young', 'brat', 'collide', 'funny', 'heartwarming', 'teen', 'barkada', 'story']"
7498,Blood Hunters: Aswang,2018,                        14min                    ,"In a parallel universe where men and monsters live in constant conflict, two hunters of the mythical ""aswang"" creatures clash with rival hunters for the grand prize - the blood of an aswang hybrid known to bring dead humans back to life.",movie,,"['parallel', 'universe', 'man', 'monster', 'live', 'constant', 'conflict', 'hunter', 'mythical', 'aswang', 'creature', 'clash', 'rival', 'hunter', 'grand', 'prize', 'blood', 'aswang', 'hybrid', 'know', 'bring', 'dead', 'human', 'back', 'life']"
7499,The Adventures of Pureza: Queen of the Riles,2011,Comedy,"Pura Buraot (Melai Cantiveros) is an all-around very devoted sister for her one and only brother (Martin del Rosario). Though an abandoned child & a lovelorn lass since birth, she does everything and gives out anything for them to have a better life. When one day her brother needs more money for his education, Pura enters into a very shady & extremely risky deal of finding a lost Brazilian model (Bianca Manalo). Together with her best friend Ruben Padilla (Jason Francisco), she intently looks for the model as they evade capture and serious threats on their lives. In this topsy-turvy search, she finds what she has been longing to have and finally learns to accept & open herself to love.",movie,"$468,883","['pura', 'buraot', 'melai', 'cantivero', 'allaround', 'devoted', 'sister', 'brother', 'abandon', 'child', 'lovelorn', 'lass', 'birth', 'give', 'well', 'life', 'day', 'brother', 'need', 'money', 'education', 'pura', 'enter', 'shady', 'extremely', 'risky', 'deal', 'finding', 'lose', 'brazilian', 'model', 'bianca', 'manalo', 'together', 'ruben', 'padilla', 'jason', 'intently', 'look', 'model', 'evade', 'capture', 'serious', 'threat', 'live', 'topsyturvy', 'search', 'find', 'longing', 'finally', 'learn', 'accept', 'open', 'love']"
7501,Pamatid-gutom,2012,"Short, Drama","Pamatid Gutom is a stark rendition of electoral politics in post-EDSA Philippines. A mother, desperate to feed her child, takes part int he feeding programme of the Mayor of a city. Upon seeing the favourable response of the wife of the mayor to her child, she undertakes a disturbing gamble.Written byAnonymous",movie,,"['pamatid', 'stark', 'rendition', 'electoral', 'politic', 'postedsa', 'mother', 'desperate', 'feed', 'child', 'take', 'part', 'int', 'feeding', 'programme', 'mayor', 'city', 'see', 'favourable', 'response', 'wife', 'mayor', 'child', 'undertake', 'disturb', 'gamble']"
7505,Mamang pulis,2013,"Documentary, Animation, Short","UP Film Institute's property custodian, Kuya Conrado Villanueva 'CV' Flores wanted to be a policeman, but instead became a policeman of film equipment and film students.",movie,,"['film', 'institutes', 'property', 'custodian', 'kuya', 'villanueva', 'flore', 'want', 'policeman', 'instead', 'become', 'policeman', 'film', 'equipment', 'film', 'student']"
7506,Binatilyo,1941,"Drama, Romance","The story of a rich man's son (Narding Anzures) who has just reached the age of adolescence. With his money and good looks, he starts out to conquer the world, especially the feminine world thinking he is the master of everything because of his financial and social standing.Written byBoots Guy",movie,,"['story', 'rich', 'mans', 'son', 'narde', 'anzure', 'reach', 'age', 'adolescence', 'money', 'good', 'look', 'start', 'conquer', 'world', 'especially', 'feminine', 'world', 'think', 'master', 'financial', 'social', 'standing']"
7510,Iwasan ... kabaret,1978,"Drama, Romance",THIS IS THE STORY OF FOUR WOMEN - FOUR LOVES - IN THE HOUSE OF PLEASURE.,movie,,"['story', 'woman', 'love', 'house', 'pleasure']"
7513,Nung nawala ang aso ko,2017,"Short, Biography, Fantasy","A young girl on the brink of puberty wakes up one morning to find that her pet dog had escaped, leaving her with a wound in her vagina. Thinking her dog had bitten her, she sets out to find traces of it, despite the persistence of her best friend to just let it go. Confused and distraught about her body and what the blood entails, she tries to make sense of herself and her tireless longing. She digs deep into her own flowery crevices to understand-- clawing and howling.",movie,,"['young', 'girl', 'brink', 'puberty', 'wake', 'morning', 'find', 'pet', 'dog', 'escape', 'leave', 'wound', 'vagina', 'think', 'dog', 'bite', 'set', 'find', 'trace', 'persistence', 'confuse', 'distraught', 'body', 'blood', 'entail', 'make', 'sense', 'tireless', 'longing', 'dig', 'deep', 'flowery', 'crevice', 'understand', 'claw', 'howl']"
7514,Hostage... Hanapin si Batuigas!,1977,"Action, Crime","Based on a true story. On All Saints Day, American teenager Susan Parker was held captive by a cold-blooded killer.",movie,,"['base', 'true', 'story', 'saint', 'day', 'american', 'teenager', 'susan', 'coldblooded', 'killer']"
7520,Alaala kita,1946,"Drama, Musical, Romance",The Sweetest Romance Ever Told. A Song To Linger and a Story To Remember Thru the Years.,movie,,"['sweetest', 'romance', 'ever', 'tell', 'song', 'ling', 'story', 'remember', 'year']"
7524,Juana C. the Movie,2013,Comedy,A young woman from a far-off province is sent to study in a prestigious Manila university but she gets caught up in the wrong crowd and ends up becoming a high-class prostitute. This exposes her to corruption in the government.,movie,,"['young', 'woman', 'faroff', 'province', 'send', 'study', 'prestigious', 'manila', 'university', 'catch', 'wrong', 'crowd', 'end', 'become', 'highclass', 'prostitute', 'expose', 'corruption', 'government']"
7525,Karibal ko ang aking ina,1982,Drama,THE DAUGHTER IS SHOCKED TO DISCOVER THAT THE MAN SHE MARRIED USED TO BE HER MOTHER'S LOVER.,movie,,"['daughter', 'shock', 'discover', 'man', 'marry', 'use', 'mother', 'lover']"
7529,Doble cara,1950,Action,Would you believe that this man is a ruthless killer? Even his wife doubted.,movie,,"['believe', 'man', 'ruthless', 'killer', 'even', 'wife', 'doubt']"
7532,Sa isang sulyap mo Tita,1953,"Comedy, Romance, Musical","""Sa isang sulyap mo Tita"" dubbed as one of the biggest and spectacular musical movies in the 50s and starring the country's popular reel-and real life sweetheart and husband-and-wife tandem in Philippine movie, Pancho Magalona and Tita Duran. With the backdrop and setting in the life in the navy. It looks of two Hollwood musical classics - ""Anchors Aweigh"" (1945) and ""On the Town"" (1949). Pancho Magalona and Dolphy as navy men or sailors, ala-Frank Sinatra and Gene Kelly, are in days of and they're out to have lots of fun, singing, dancing and drinking. As they say, They're out to ""paint the town red"". Dolphy, probably his first major movie role as Pancho's buddy exhibits his awesome dancing skills.Written byBGP",movie,,"['isang', 'sulyap', 'dub', 'big', 'spectacular', 'musical', 'movie', 'star', 'countrys', 'popular', 'real', 'life', 'sweetheart', 'husbandandwife', 'tandem', 'philippine', 'movie', 'pancho', 'tita', 'duran', 'backdrop', 'set', 'life', 'navy', 'look', 'hollwood', 'musical', 'classic', 'anchor', 'aweigh', 'town', 'pancho', 'magalona', 'dolphy', 'navy', 'man', 'sailor', 'alafrank', 'sinatra', 'gene', 'kelly', 'day', 'they_re', 'lot', 'fun', 'singing', 'dancing', 'drinking', 'say', 'paint', 'town', 'red', 'dolphy', 'probably', 'first', 'major', 'movie', 'role', 'panchos', 'buddy', 'exhibit', 'awesome', 'dancing', 'skill']"
7534,Mansyon,2005,Short,A housemaid and a gardener take care of a large house while its owners are away. Days of tedium go by until a small accident sparks a series of discoveries.,movie,,"['housemaid', 'gardener', 'take_care', 'large', 'house', 'owner', 'away', 'day', 'tedium', 'go', 'small', 'accident', 'spark', 'series', 'discovery']"
7536,Portrait of My Love,1965,"Romance, Drama","The love story of the year, the love team of all time.",movie,,"['love', 'story', 'year', 'love', 'team', 'time']"
7538,Beerhouse,1977,Drama,EVERYTHING YOU'VE HEARD ABOUT THIS FILM - IS TRUE.,movie,,"['hear', 'film', 'true']"
7542,Morgue,2013,"Drama, Horror","With his funeral parlor about to go out of business and his wife leaving him for good, Lance has become greatly exasperated. He vents all his anger and frustration to his only son, Lester. With no one to turn to, Lester finds comfort in the company of the corpses in the morgue. Where will the family's turmoil lead? What is the secret hidden in the morgue?Written byanonymous",movie,,"['funeral', 'parlor', 'go', 'business', 'wife', 'leave', 'good', 'lance', 'become', 'greatly', 'exasperated', 'vent', 'anger', 'frustration', 'son', 'lester', 'turn', 'lester', 'find', 'comfort', 'company', 'corpse', 'morgue', 'familys', 'turmoil', 'lead', 'secret', 'hide', 'morgue']"
7543,Liquidate: Sex Gang,1982,Drama,LAW ENFORCERS RUN AFTER A GANG THAT PRAY ON INNOCENT VICTIMS WHO ARE RAPED AND SUBSEQUENTLY FORCED TO WORK IN THE FLESH TRADE.,movie,,"['law', 'enforcer', 'run', 'gang', 'pray', 'innocent', 'victim', 'rape', 'subsequently', 'force', 'work', 'flesh', 'trade']"
7545,Kamay ni Cain,1957,"Action, Drama","Who's ""CAIN"" Of The Two Brothers? Eduardo - Who's Loved or Ernesto - Who's Disowned?",movie,,"['cain', 'brother', 'love', 'disown']"
7549,Pátok: The Mountain Carvers,2019,Documentary,"An indigenous peoples community in the Province of Antique in Panay Island, Philippines, is surprised when their rice terraces are discovered via Google Maps. All of a sudden, they are now faced with questions about their identity, indigeneity, and authenticity.",movie,,"['indigenous', 'people', 'community', 'province', 'antique', 'panay', 'island', 'philippine', 'surprise', 'rice', 'terrace', 'discover', 'map', 'sudden', 'face', 'question', 'identity', 'indigeneity', 'authenticity']"
7552,Hootsy kootsy,1955,"Action, Comedy, Romance",PUNCH-FUL with unrestrained LAUGHTER - RIP-ROARING with mapcap ACTION - A-TINGLING with gay ROMANCE.,movie,,"['punchful', 'unrestrained', 'laughter', 'riproare', 'mapcap', 'action', 'atingling', 'gay', 'romance']"
7555,Walang Kasarian Ang Digmang Bayan,2020,Drama,"With his family life in shambles amidst the government's war on drugs, a young man transitions from being an ordinary filmmaker to being a full-fledged member of the revolutionary movement, proving that conviction knows no gender.",movie,,"['family', 'life', 'shamble', 'government', 'war', 'drug', 'young', 'man', 'transition', 'ordinary', 'filmmaker', 'fullfledge', 'member', 'revolutionary', 'movement', 'prove', 'conviction', 'know', 'gender']"
7556,Panlaban: dos por dos,1981,"Action, Western",A STURDY PIECE OF WOOD IS GOOD ENOUGH FOR OFFENCE AND DEFENCE TO A DETERMINED WARRIOR.,movie,,"['sturdy', 'piece', 'wood', 'good', 'enough', 'offence', 'defence', 'determine', 'warrior']"
7560,Laruan,1983,Drama,Joy (Carmi Martin) has only one ambition in life - to get rich and give her family a more comfortable life. She enslaves herself to William (Mark Gil) in her hope that he will help her achieve her goal.,movie,,"['joy', 'carmi', 'martin', 'ambition', 'life', 'get', 'rich', 'give', 'family', 'comfortable', 'life', 'enslave', 'william', 'mark', 'gil', 'hope', 'achieve', 'goal']"
7563,Ang Pangalan: Mediavillo,1974,"Action, Crime","Walking alone in some dark alley, Sgt. Mediavillo goes about his job as a daring detective.",movie,,"['walk', 'alone', 'dark', 'alley', 'go', 'job', 'dare', 'detective']"
7564,The Landscape Within,2016,"Documentary, Biography","Eric Nui Cabales, body-painter, costume designer, photographer and conceptual artist struggles to find new directions after the death of his father. With a strong desire to move forward, and with the support of family and a group of friends and artists, Eric finds purpose at the roots of his affections: Kayama, where the river and the sea meet, the landscape of his memories and the inner source of his inspiration.",movie,,"['nui', 'bodypainter', 'costume', 'designer', 'photographer', 'conceptual', 'artist', 'struggle', 'find', 'new', 'direction', 'death', 'father', 'strong', 'desire', 'move', 'forward', 'support', 'family', 'group', 'friend', 'artist', 'find', 'purpose', 'root', 'affection', 'kayama', 'river', 'sea', 'meet', 'landscape', 'memory', 'inner', 'source', 'inspiration']"
7565,Malabanan,1978,"Action, Crime","Sometime ago, there was a movie about a notorious character which made history as one of cinema's all-time box-office hits. The movie and the character - KAPITAN EDDIE SET. Now Imus Productions on its 5th anniversary gives you the true-to-life story and adventures of THE MAN WHO KILLED EDDIE SET and almost all the blood-thirsty outlaws of Cavite. His name - MALABANAN, and kilabot hunter ng cavite. Get SET for real. action. Humanda sa tunay na LABAMAN.Written byBGP",movie,,"['sometime', 'ago', 'movie', 'notorious', 'character', 'make', 'history', 'cinema', 'alltime', 'boxoffice', 'hit', 'movie', 'character', 'kapitan', 'eddie', 'set', 'production', 'anniversary', 'give', 'truetolife_story', 'adventure', 'man', 'kill', 'eddie', 'set', 'almost', 'bloodthirsty', 'outlaw', 'cavite', 'name', 'malabanan', 'kilabot', 'hunter', 'ng', 'set', 'real', 'action', 'tunay', 'na', 'labaman']"
7572,Roberta,1979,Drama,It is a story of a young female hero unjustly accused for the murder of someone. She was intimidated to say that she committed the crime so that her family would not be harmed. The wise lawyer in the courtroom was able to help her.,movie,,"['story', 'young', 'female', 'hero', 'unjustly', 'accuse', 'murder', 'intimidate', 'say', 'commit', 'crime', 'family', 'harm', 'wise', 'lawyer', 'courtroom', 'able', 'help']"
7576,Tatay na si Bondying,1955,"Comedy, Drama","BONDYING'S BACK IN TOWN, And He's a ""TATAY"" NOW, look, whom he has got - twins, When you meet 'BONDYINGING' and 'DOLFO, you'll not just smile, or laugh, or giggle, but you'll scream and howl with DELIGHT.",movie,,"['bondying', 'back', 'town', 'he_s', 'tatay', 'look', 'get', 'twin', 'meet', 'bondyinging', 'smile', 'laugh', 'giggle', 'scream', 'howl', 'delight']"
7578,Exploitation,1983,Drama,EXPLOITED YOUNG GIRLS LEARN TO FIGHT AND SEEK JUSTICE FOR VIOLATION OF THEIR PERSONS.,movie,,"['exploit', 'young', 'girl', 'learn', 'fight', 'seek', 'justice', 'violation', 'person']"
7584,Pusong ginto,1954,"Drama, Romance","Here they are, The Most Romantic Personalities of our times, Now you can see them together again.",movie,,"['romantic', 'personality', 'time', 'see', 'together']"
7585,408,2014,Sci-Fi,"An unknown source disseminates a message alerting the world to a disaster that will happen at 4:08 pm. Liaison officer Felix buys a hand-held video camera to document the event. At 4:08 pm, the world goes black. While trying to escape their impending death, Felix and his colleagues run into a portal that takes them to a parallel universe. The film documents the journey of six colleagues as they try to find their way back to reality.Written byRamon Araneta and Jose Jay Pou",movie,,"['unknown', 'source', 'disseminate', 'message', 'alert', 'world', 'disaster', 'happen', 'pm', 'liaison', 'officer', 'buy', 'handheld', 'video', 'camera', 'document', 'event', 'pm', 'world', 'go', 'black', 'try', 'escape', 'impending', 'death', 'colleague', 'run', 'portal', 'take', 'parallel', 'universe', 'film', 'document', 'journey', 'colleague', 'find', 'way', 'back', 'reality']"
7593,Ato ti Bondying,1973,"Comedy, Drama",THE BEST OF BONDYING.,movie,,"['good', 'bondying']"
7594,Bambang,1982,"Action, Drama",A SUB-DISTRICT OF TONDO IS THE SETTING OF THIS ACTION-DRAMA FILM ON STREET GANG WARS.,movie,,"['subdistrict', 'tondo', 'set', 'street', 'gang', 'war']"
7603,Letters & Music,2017,Music,"Letters and Music is a one-hour, live TV show that showcases engaging music- related segments and live music performances.",tv,,"['letter', 'music', 'onehour', 'live', 'tv', 'show', 'showcase', 'engage', 'music', 'relate', 'segment', 'live', 'music', 'performance']"
